directory,subdirectory,filename,speaker_id,session_id,utterance_id,transcription,recording_corrupt,comment_transcriptionist,length_sec,recording_id,recording_startpos_sec
ch01,ch01_01,ch01_01_001,unknown,1,1,"7号1号叫",0,,,,
ch01,ch01_01,ch01_01_002,unknown,1,2,"5号声音好",0,,,,
ch01,ch01_01,ch01_01_003,unknown,1,3,"5号明白",0,,,,
ch01,ch01_01,ch01_01_004,unknown,1,4,"锦州回答4151声音好",0,,,,
ch01,ch01_01,ch01_01_005,unknown,1,5,"好的投资条件您稍等一下啊我这还没要到呢",0,,,,
ch01,ch01_01,ch01_01_006,unknown,1,6,"1号3号叫",0,,,,
ch01,ch01_01,ch01_01_007,unknown,1,7,"2号声音好",0,,,,
ch01,ch01_01,ch01_01_008,unknown,1,8,"3号明白",0,,,,
ch01,ch01_01,ch01_01_009,unknown,1,9,"4151锦州1号",0,,,,
ch01,ch01_01,ch01_01_010,unknown,1,10,"4151锦州1号叫",0,,,,
ch01,ch01_01,ch01_01_011,unknown,1,11,"啊4151回答1号",0,,,,
ch01,ch01_01,ch01_01_012,unknown,1,12,"这边场压733.9 733.9着陆方向由西向东由西向东本场基本静风0-2",0,,,,
ch01,ch01_01,ch01_01_013,unknown,1,13,"好的一会见了",0,,,,
ch01,ch01_01,ch01_01_014,unknown,1,14,"锦州回答4151声音好",0,,,,
ch01,ch01_01,ch01_01_015,unknown,1,15,"啊现在海压2,800海下15",0,,,,
ch01,ch01_01,ch01_01_016,unknown,1,16,"啊军运说是你可以直接下降高度吗",0,,,,
ch01,ch01_01,ch01_01_017,unknown,1,17,"啊可以啊",0,,,,
ch01,ch01_01,ch01_01_018,unknown,1,18,"好的那你直接下场高15然后通场加入左三边高度可以继续下了",0,,,,
ch01,ch01_01,ch01_01_019,unknown,1,19,"好的下场高1,500",0,,,,
ch01,ch01_01,ch01_01_020,unknown,1,20,"通场加入左三边",0,,,,
ch01,ch01_01,ch01_01_021,unknown,1,21,"啊如果高度来不及的话可以往前再飞上一分钟半分钟",0,,,,
ch01,ch01_01,ch01_01_022,unknown,1,22,"好的明白了好另外呃落地可以联系对吧",0,,,,
ch01,ch01_01,ch01_01_023,unknown,1,23,"对的落地可以联系",0,,,,
ch01,ch01_01,ch01_01_024,unknown,1,24,"落地以后起飞以后直接联系民航进近频率119119.6就可以了",0,,,,
ch01,ch01_01,ch01_01_025,unknown,1,25,"好的起飞以后联系1196对吧",0,,,,
ch01,ch01_01,ch01_01_026,unknown,1,26,"好的4151你三边报一下",0,,,,
ch01,ch01_01,ch01_01_027,unknown,1,27,"啊在我三边报4151",0,,,,
ch01,ch01_01,ch01_01_028,unknown,1,28,"好的继续下降高度",0,,,,
ch01,ch01_01,ch01_01_029,unknown,1,29,"好4151继续下降高度了三转弯报一下",0,,,,
ch01,ch01_01,ch01_01_030,unknown,1,30,"好三转弯报",0,,,,
ch01,ch01_01,ch01_01_031,unknown,1,31,"4151三转弯",0,,,,
ch01,ch01_01,ch01_01_032,unknown,1,32,"3号5号开机工作",0,,,,
ch01,ch01_01,ch01_01_033,unknown,1,33,"现在我要这个",0,,,,
ch01,ch01_01,ch01_01_034,unknown,1,34,"现在地面230多风3米",0,,,,
ch01,ch01_01,ch01_01_035,unknown,1,35,"12公里偏左100米",0,,,,
ch01,ch01_01,ch01_01_036,unknown,1,36,"350 8公里1号",0,,,,
ch01,ch01_01,ch01_01_037,unknown,1,37,"速度320 7公里1号",0,,,,
ch01,ch01_01,ch01_01_038,unknown,1,38,"速度300 6公里1号",0,,,,
ch01,ch01_01,ch01_01_039,unknown,1,39,"速度260 5公里1号",0,,,,
ch01,ch01_01,ch01_01_040,unknown,1,40,"可以落地落地可以联系",0,,,,
ch01,ch01_01,ch01_01_041,unknown,1,41,"明白",0,,,,
ch01,ch01_01,ch01_01_042,unknown,1,42,"速度160 3公里1号",0,,,,
ch01,ch01_01,ch01_01_043,unknown,1,43,"速度100 两公里1号",0,,,,
ch01,ch01_01,ch01_01_044,unknown,1,44,"可以起飞",0,,,,
ch01,ch01_01,ch01_01_045,unknown,1,45,"啊联系119.6啊",0,,,,
ch01,ch01_01,ch01_01_046,unknown,1,46,"对的 上场高700 联系1196",0,,,,
ch01,ch01_01,ch01_01_047,unknown,1,47,"好的明白",0,,,,
ch01,ch01_01,ch01_01_048,unknown,1,48,"好的一会见你预计一会什么时候过来啊",0,,,,
ch01,ch01_01,ch01_01_049,unknown,1,49,"啊可能得呃一个半小时吧",0,,,,
ch02,ch02_01,ch02_01_001,unknown,2,1,"好的本场场压",0,,,,
ch02,ch02_01,ch02_01_002,unknown,2,2,"733.2733.2温度5度温度5度",0,,,,
ch02,ch02_01,ch02_01_003,unknown,2,3,"呃50度风3-5米",0,,,,
ch02,ch02_01,ch02_01_004,unknown,2,4,"地面能见度大于两公里",0,,,,
ch02,ch02_01,ch02_01_005,unknown,2,5,"完毕",0,,,,
ch02,ch02_01,ch02_01_006,unknown,2,6,"733.2进跑道",0,,,,
ch02,ch02_01,ch02_01_007,unknown,2,7,"这个5度",0,,,,
ch02,ch02_01,ch02_01_008,unknown,2,8,"50度风",0,,,,
ch02,ch02_01,ch02_01_009,unknown,2,9,"3-5米着陆方向由西向东",0,,,,
ch02,ch02_01,ch02_01_010,unknown,2,10,"好的着陆方向由西向东我落地以后不用加油你给我来个停车",0,,,,
ch02,ch02_01,ch02_01_011,unknown,2,11,"啊下站联系1900",0,,,,
ch02,ch02_01,ch02_01_012,unknown,2,12,"好嘞一会见",0,,,,
ch02,ch02_01,ch02_01_013,unknown,2,13,"好的你现在可以继续下到场高12",0,,,,
ch02,ch02_01,ch02_01_014,unknown,2,14,"好嘞我场高12",0,,,,
ch02,ch02_01,ch02_01_015,unknown,2,15,"17",0,,,,
ch02,ch02_01,ch02_01_016,unknown,2,16,"呃你现在能见地面吗",0,,,,
ch02,ch02_01,ch02_01_017,unknown,2,17,"呃不太能见",0,,,,
ch02,ch02_01,ch02_01_018,unknown,2,18,"好的那你一会回南以后左转给我三遍导航台吧加我三遍",0,,,,
ch02,ch02_01,ch02_01_019,unknown,2,19,"呃好的",0,,,,
ch02,ch02_01,ch02_01_020,unknown,2,20,"对的渭南以后左转",0,,,,
ch02,ch02_01,ch02_01_021,unknown,2,21,"回答",0,,,,
ch02,ch02_01,ch02_01_022,unknown,2,22,"啊你现在高度",0,,,,
ch02,ch02_01,ch02_01_023,unknown,2,23,"高度2,100渭南继续下降",0,,,,
ch02,ch02_01,ch02_01_024,unknown,2,24,"可以你下到场高700本场以东11公里下到场高700",0,,,,
ch02,ch02_01,ch02_01_025,unknown,2,25,"好的",0,,,,
ch02,ch02_01,ch02_01_026,unknown,2,26,"我直接给你安排导航台",0,,,,
