ch03_01_568 301P207下标高1,800
ch03_01_062 4018明白
ch03_01_606 收到301报告起落天气
ch03_01_439 明白301
ch02_01_003 呃50度风3-5米
ch03_01_043 4018明白
ch03_01_128 4018长江收到
ch03_01_324 左侧风5米每秒
ch03_01_399 呃左转上场高24
ch03_01_571 301明白3栋1P208下场高900
ch02_01_016 呃你现在能见地面吗
ch02_01_012 好嘞一会见
ch03_01_225 能见度大于
ch03_01_501 302走
ch03_01_031 40183转弯报
ch03_01_008 4018明白场压756地面温度20度
ch03_01_207 4018明白整点前通过P3224018在P377前保持当前速度
ch03_01_016 4018注意滑行速度不要大
ch03_01_436 301起落架放好
ch03_01_633 稳杆增速
ch03_01_080 4018一直向前滑注意减速
ch03_01_488 301请示上升到高度12
ch03_01_509 风速07
ch03_01_466 303应答机3107
ch03_01_334 301可以着陆地面静风
ch03_01_300 301进入1号
ch03_01_380 场压317
ch02_01_078 4017跟民航联系好了上高度663
ch02_01_002 733.2733.2温度5度温度5度
ch03_01_432 连续复飞
ch03_01_096 场高156米保持
ch03_01_302 3011号完成动作
ch03_01_185 4018标高3107
ch01_01_047 好的明白
ch01_01_003 5号明白
ch03_01_366 301三转弯
ch03_01_149 4018标标高8,100米
ch03_01_379 应答机3107
ch03_01_446 301工作本场空域
ch03_01_406 请示下54
ch02_01_043 明白明白
ch03_01_630 两点姿势大
ch03_01_624 4018起飞15分计计划航线
ch03_01_131 能见飞行正常工作
ch01_01_015 啊现在海压2,800海下15
ch03_01_618 下两个小时不会转好
ch04_01_006 733.2进跑道
ch03_01_146 4018请求下降高度
ch01_01_023 对的落地可以联系
ch03_01_172 北风5米每秒
ch04_01_003 呃50度风3-5米
ch03_01_588 云低高3,000
ch03_01_041 4018检查好可以着陆
ch02_01_082 2号关机休息
ch03_01_530 301检查好起飞
ch03_01_388 301请示向前滑
ch03_01_600 云顶3,600
ch03_01_012 4018明白
ch03_01_617 请求航路预报
ch03_01_063 40182转弯
ch03_01_126 前方联系07进塔台
ch03_01_283 301切台
